name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lagos,2019-06-02,89.6,77,82,102.6,77,88.1,76.5,84.2,0,0,0,,0,0,15.2,10.3,219.1,1013.5,57.4,5.6,149.5,12.8,6,,2019-06-02T06:30:13,2019-06-02T18:58:38,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2019-06-03,89.8,76.7,82.7,102.6,76.7,89.4,76.5,82.3,0.016,100,12.5,rain,0,0,17,9.2,252.4,1014,54.4,5.6,200.6,17.4,7,,2019-06-03T06:30:19,2019-06-03T18:58:52,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,remote,65201099999"
lagos,2019-06-04,87.8,78.8,81.9,102.4,78.8,89.1,77.3,86.4,0,0,0,,0,0,19.2,13.9,267.4,1014.1,56.8,5.3,200,17.1,7,,2019-06-04T06:30:25,2019-06-04T18:59:06,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2019-06-05,86,77,81.5,97.2,77,87.5,76.6,85.5,0.039,100,4.17,rain,0,0,26.4,11.4,255.9,1013.5,61.2,6,154.4,13.3,5,,2019-06-05T06:30:31,2019-06-05T18:59:20,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999"
lagos,2019-06-06,86.1,73.2,80,96,73.2,84.3,76.1,88.3,0.079,100,4.17,rain,0,0,25.9,13.4,240.9,1013,78,5.7,189.8,16.6,8,,2019-06-06T06:30:39,2019-06-06T18:59:34,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999"
lagos,2019-06-07,86.1,73.2,78.4,96.6,73.2,81.6,74.1,87.3,0.056,100,16.67,rain,0,0,21.7,13.6,225.7,1013,77.4,4.8,107.1,9.2,4,,2019-06-07T06:30:46,2019-06-07T18:59:48,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999"
lagos,2019-06-08,89.6,75.2,81.6,102.6,75.2,86.9,76.1,84.1,0.004,100,4.17,rain,0,0,19.7,11.4,257,1014.8,55.7,6.2,193.4,16.7,8,,2019-06-08T06:30:54,2019-06-08T19:00:03,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,DNMM,remote,65201099999"
lagos,2019-06-09,86,77.4,80.9,99.4,77.4,85.5,76.9,87.9,0,0,0,,0,0,16.3,17.2,224.8,1015,61.6,6,167.5,14.6,6,,2019-06-09T06:31:03,2019-06-09T19:00:17,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2019-06-10,84.2,76.4,79.2,96.1,76.4,82.6,76.5,91.7,0.354,100,4.17,rain,0,0,19.5,10.3,230.6,1014.6,64.2,4.8,119.2,10.4,5,,2019-06-10T06:31:12,2019-06-10T19:00:32,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,65201099999"
lagos,2019-06-11,86.3,77,80.3,97,77,83.9,75.7,86,0.02,100,12.5,rain,0,0,21.9,11.2,254.4,1013.9,50.6,5.7,203,17.6,6,,2019-06-11T06:31:22,2019-06-11T19:00:46,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,remote,65201099999"
lagos,2019-06-12,87.8,76.2,80.6,99.9,76.2,84.4,75.7,85.5,0.044,100,16.67,rain,0,0,19.2,10.3,245,1014.6,57.4,6.1,176.8,15.3,6,,2019-06-12T06:31:31,2019-06-12T19:01:01,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"DNMM,remote,65201099999"
lagos,2019-06-13,87.8,77,81.3,99.9,77,86.3,76,84.4,0.079,100,4.17,rain,0,0,18.1,10.3,255.9,1014.6,66.3,5.6,164.5,14.2,6,,2019-06-13T06:31:42,2019-06-13T19:01:15,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65202099999,DNMM,remote,65201099999"
lagos,2019-06-14,82.4,73.4,78.2,90.9,73.4,79.1,75.6,91.9,0.708,100,8.33,rain,0,0,21,13.9,261.1,1015.3,55.7,5.1,152.8,13.1,6,,2019-06-14T06:31:53,2019-06-14T19:01:29,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
lagos,2019-06-15,81,75.2,77.2,88,75.2,78,75.4,94.3,0.748,100,8.33,rain,0,0,18.8,6.9,270.9,1015.4,50.4,4.9,67.5,5.8,3,,2019-06-15T06:32:04,2019-06-15T19:01:44,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,65201099999"
lagos,2019-06-16,87.8,73.4,79.9,102.4,73.4,84.9,75.8,87.9,0.004,100,4.17,rain,0,0,17.7,11.4,246,1015.6,54.7,4.6,219,18.9,8,,2019-06-16T06:32:15,2019-06-16T19:01:58,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,remote,65201099999"
lagos,2019-06-17,87.8,77,82,102.4,77,87.8,76.9,85.6,0,0,0,,0,0,21.9,11.4,237.9,1015.5,49.5,5.5,225.4,19.5,8,,2019-06-17T06:32:27,2019-06-17T19:02:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2019-06-18,84.2,77,80.1,96.1,77,84.1,76.8,89.6,0.02,100,16.67,rain,0,0,17,9.2,240.4,1015.6,45.7,4.9,200.9,17.4,7,,2019-06-18T06:32:39,2019-06-18T19:02:25,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,remote,65201099999"
lagos,2019-06-19,89.6,77,82.2,105.1,77,88.4,77.2,85.3,0.016,100,12.5,rain,0,0,22.6,10.3,258,1014.6,43.8,5.6,231.2,20,8,,2019-06-19T06:32:51,2019-06-19T19:02:39,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,remote,65201099999"
lagos,2019-06-20,84.2,73.4,77.9,94.2,73.4,79.3,75.1,91.2,0.079,100,4.17,rain,0,0,16.8,10.3,229.3,1015.6,61.4,5.4,150.2,12.8,5,,2019-06-20T06:33:04,2019-06-20T19:02:52,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,65201099999"
lagos,2019-06-21,84.5,75,78.9,94.6,75,82.4,75.3,88.9,0.075,100,20.83,rain,0,0,17,8.5,246.8,1015.8,71.2,4.9,79.5,6.8,3,,2019-06-21T06:33:17,2019-06-21T19:03:06,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999"
lagos,2019-06-22,82.7,77.3,79.3,91.2,77.3,80.8,76.1,90,1.102,100,4.17,rain,0,0,17,11,241.7,1014.2,89.1,5.2,134.6,11.8,4,,2019-06-22T06:33:30,2019-06-22T19:03:18,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,remote,65201099999"
